Location,Equipment,Name,Code,Category,Include,Description,Image,URL
Laserlab,Creaform MetraScan 750 3D Scanner,3D scanner,3DSC,Characterization,Yes,The MetraScan 750 is a CMM scanner to perform highly accurate and repeatable metrology-grade measurements and 3D geometrical surface inspections. At the CCWJ it is implemented to aid with toolpath generation for zero-programming repair of worn out surfaces using robotic welding. In industry it is comonly used to capture 3D point cloud of objects and metrological inspection in a manufacturing process.,3DSC-creaform-metrascan-750.jpg,
Welding,Alicat Scientific high-precision mass flow controllers,Alicat,ALI,Welding,Yes,"Use mass flow controllers to measure and control gas flow from 0.5 SCCM to 5,000 SPM. Can mix multiple gases at specific ratios. Digital feedback from PLC or PC allows real-time changes to the flow rate setpoint to maintain optimal process conditions.",ALI-alicat-scientific-mass-flow-controllers.jpg,
Computer,Computer - Ansys,Ansys Computer,ANSC,Computer / Software,No,,,
Welding,Cyclomatic Arc Pattern Controller 90A,Arc Patter Controller,APC,Welding,Yes,"Magnetic arc control provides even heat distribution, prevents undercutting, eliminated excessive porosity, ensures sufficient penetration, and evens out the weld puddle. Reduces variability of welding arc to produce improved experiment consistency.	Aids in maintaining a consistent welding arc to prevent rework for industries involved with fabrications/manufacturing.",APC-cyclomatic-arc-pattern-controller-90a.jpg,https://www.millerwelds.com/-/media/miller-electric/files/pdf/products/jetline/magnetic-arc-control-brochure.pdf
Computation,MSC Apex,APEX,APEX,Computer / Software,Yes,"A CAE specific direct modeling and meshing solution software that streamlines CAD clean-up, simplification and meshing workflow. This solution is unique in that it combines computational parts and assemblies technology with a generative framework, which enables interactive and incremental analysis. It provides a truly end to end solution for designers making high-precision, industrial components.",APEX-msc-apex.jpg,
Manufacturing,DAKE Arbour Press,Arbour Press,ARBO,Characterization,Yes,"The DAKE arbour, manually-operated press is used for the pressing, punching, and bending of small samples. The press is equipped with a handwheel that allows for precise control of the pressure applied to the sample.",ARBO-arbour-press.jpg,
Metallography,ATM Saphir 350 Polishing Wheel,New Polisher,ATM,Characterization,No,,,
Metallography,Buehler EcoMet Autopolisher,Autopolisher,AUPO,Characterization,Yes,"Semiautomatic machine used for routine grinding and polishing. With this machine it is possible to obtain a perfectly smooth, deformation free surface, which is required to observe the true microstructure. The microstructure observation is necessary for analysis, both qualitative and quantitative, and is usually a quality assurance for industry.",AUPO-buehler-ecomet-autopolisher.png,
Storage Room Equipment,DFO Bifurcation Optics,Bifurcation,BIFU,Characterization,Yes,,BIFU-bifurcation-optics.jpg,
Storage Room Equipment,Bitscope Oscilloscope,Bitscope,BITS,Characterization,No,,,
